movado,citizen
604759,A09020-17H
604982,AG8304-51E
605032,AN3460-56E
605586,AN8130-53A
605746,AN8130-53E
605853,AO9000-06B
605855,AO9003-08E
605904,AO9020-17H
606028,AO9023-01A
606093,AR3015-53E
606107,AT0200-05E
606112,AT0810-55X
606114,AT0940-50E
606115,AT2141-52L
606203,AT2230-03A
606204,AT2233-05E
606240,AT2235-00E
606283,AT2240-51A
606284,AT2240-51E
606307,AT2242-55E
606333,AT2245-57E
606334,AT2275-56X
606336,AT2278-58H
606368,AT2340-56A
606378,AT2340-56L
606379,AT4007-54E
606382,AT4008-51E
606433,AT4010-50E
606471,AT4106-52X
606472,AT4117-56H
606478,AT7030-05E
606480,AT8010-58E
606481,AT8020-54L
606485,AT8110-53E
606501,AT8113-55A
606502,AT9010-52E
606503,AT9016-56H
606504,AT9070-51L
606505,AT9071-07E
606507,AT9071-58E
606535,AU1040-08E
606536,AU1043-00E
606538,AU1044-58A
606540,AU1044-58E
606545,AU1065-07E
606555,AU1070-58E
606560,AU1072-52E
606574,AW0011-09J
606575,AW0018-00F
606576,AW1236-03A
